GHCN_ID,NAME,LATITUDE,LONGITUDE,ELEVATION,ISO_CODE
INM00042299,GANGTOK,27.333,88.617,1756.0,IN
INI0000VOHB,HUBLI / HUBBALLI,15.35,75.083,661.3,IN
INM00042062,DHARMSALA,32.267,76.383,1211.0,IN
INM00042931,BULDANA,20.533,76.233,650.0,IN
INM00042805,ULUBERIA,22.5,87.95,5.0,IN
INI0000VERC,BIRSA MUNDA,23.314,85.322,654.7,IN
INM00042803,MIDNAPORE,22.417,87.317,45.0,IN
INM00042948,RAJNANDGAON,21.1,81.033,329.0,IN
INM00042727,AIJAL,23.733,92.717,1097.0,IN
INM00042498,BHAGALPUR,25.233,86.95,49.0,IN
INM00043125,BIDAR,17.917,77.533,663.0,IN
INM00042792,SUNDARGARH,22.117,84.033,240.0,IN
INM00042249,SIKAR,27.617,75.133,433.0,IN
INI0000VOHS,HYDERABAD INTL AIRPORT / RAJI,17.233,78.417,617.0,IN
INM00042414,CHAPARMUKH,26.2,92.517,66.0,IN
INM00043317,UDHAGAMANDALAM,11.4,76.733,2249.0,IN
INM00043324,ARIYALUR,11.167,79.0,747.0,IN
INM00042143,NAJIBABAD,29.617,78.383,270.0,IN
INM00043266,M.O. AGATHI AIRPORT,10.85,72.467,3.0,IN
INM00043364,HUT BAY,10.583,92.55,5.0,IN
INM00043042,BHAWANIPATNA,19.917,83.183,261.0,IN
INM00042812,CANNING,22.25,88.667,4.0,IN
INM00043136,BHADRACHALAM,17.667,80.883,54.0,IN
INM00043263,HASSAN,12.967,76.333,955.0,IN
INI0000VABP,BHOPAL / RAJA BHOJ,23.287,77.337,524.0,IN
INM00043271,AROGYAVARAM,13.533,78.5,701.0,IN
INM00043087,HANAMKONDA,18.017,79.567,269.0,IN
INM00042266,SHAHJAHANPUR,27.883,79.9,155.0,IN
INI0000VEPT,JAI PRAKASH NARAYAN INTL PATN,25.591,85.088,51.8,IN
INI0000VIAR,AMRITSAR,31.71,74.797,230.4,IN
INM00042271,HARDOI,27.383,80.167,142.0,IN
INI0000VOVR,VELLORE,12.917,79.15,214.0,IN
INM00043356,PERIAKULAM,10.0,77.133,300.0,IN
INM00042973,CHANDBALI,20.783,86.733,6.0,IN
INM00042711,KRISHNANAGAR,23.4,88.517,15.0,IN
INM00042420,GOLAGHAT,26.517,93.983,95.0,IN
INM00042874,PBO RAIPUR,21.233,81.65,298.0,IN
